city_a,city_b,median,lower,upper,ci_width
Capital DC,Metrorower,0.9328662512694856,0.885439845022117,0.9582771758838962,0.07283733086177913
Capital DC,Nextbike Praha,0.9277371467772547,0.8888897616431555,0.9529020825401748,0.06401232089701936
BIXI Montréal,Nextbike Berlin,0.9219376006797063,0.866906071250092,0.9463588643876599,0.07945279313756792
Mevo Gdańsk,Velospot CH,0.9139447493084725,0.8758683021816743,0.9459725241305887,0.07010422194891441
Santander London,Ecobici Ciudad de Mexico,0.9119169893267889,0.7751829894450446,0.967768601337798,0.19258561189275336
Nextbike Praha,Metrorower,0.909531548742336,0.868890231609463,0.9378037109779943,0.06891347936853132
Bike Share Toronto,Nextbike Berlin,0.9089785823342191,0.7961391689171451,0.9606469344077893,0.16450776549064416
BIXI Montréal,Bike Share Toronto,0.9002256277428164,0.776105782950448,0.9600171850078912,0.18391140205744327
Santander London,Bicing Barcelona,0.8977624192037441,0.7204272817593733,0.9582549120498011,0.23782763029042775
Bicing Barcelona,Ecobici Ciudad de Mexico,0.8922169236888399,0.6899512199202574,0.9619259836619264,0.27197476374166896
Capital DC,Mevo Gdańsk,0.8918424319502034,0.8347146791594554,0.9426118029369384,0.10789712377748295
Mevo Gdańsk,Bike Itaú Rio,0.8889482223641029,0.735148849634461,0.9215233320272037,0.18637448239274268
Metrorower,Mevo Gdańsk,0.8809766721483823,0.8209915610663664,0.936629835587259,0.11563827452089259
Bike Share Toronto,Vélo'v Lyon,0.8789448006303477,0.770077084858328,0.9197962043340724,0.14971911947574434
Vélo'v Lyon,Nextbike Berlin,0.8764919730636287,0.7968117148987772,0.904749525223465,0.10793781032468774
Nextbike Praha,Mevo Gdańsk,0.8753989431386198,0.8312575368916387,0.921811959454442,0.09055442256280333
Metrorower,Bike Itaú Rio,0.8732673667261401,0.7546238112209582,0.9315855825824532,0.17696177136149494
Bay Wheels SF,Beryl Manchester,0.8701141974826474,0.7006604755036827,0.947904193346652,0.24724371784296928
Le VélO Bordeaux,Le Vélo Marseille,0.8671515152559801,0.7378298345911269,0.9405478823310032,0.20271804773987623
BIXI Montréal,Vélo'v Lyon,0.8658292863066681,0.8169153584481409,0.9000687191050203,0.0831533606568794
Biketown Portland,Beryl Manchester,0.8657961982313802,0.71902567372971,0.9485564655098068,0.22953079178009672
Bluebikes Boston,Swabi Augsburg,0.8655602034186375,0.712037351717198,0.9510254581566046,0.2389881064394066
Nextbike Berlin,Metrorower,0.8650301133138376,0.7892490157656623,0.9236689129633181,0.1344198971976558
Capital DC,Bike Itaú Rio,0.8605671016753038,0.7156223472451191,0.9058282105583348,0.19020586331321576
BIXI Montréal,Nextbike Praha,0.8605121459834795,0.8098273963855248,0.9099239978032294,0.1000966014177046
Le VélO Bordeaux,Beryl Bournemouth,0.8568905414356914,0.7069349467346662,0.9087115513097656,0.20177660457509938
Nextbike Berlin,Nextbike Praha,0.8553306000754588,0.7886702052436073,0.9169930504839956,0.12832284524038828
Capital DC,Nextbike Berlin,0.8550103913605154,0.7726936578628025,0.9225998036376752,0.1499061457748727
Velospot CH,Bike Itaú Rio,0.8549714748262804,0.7151726972711814,0.8895221643523795,0.17434946708119814
Bicing Barcelona,Ecobici Buenos Aires,0.8533271073300532,0.6749179654971025,0.9458489816198579,0.2709310161227554
Bicing Barcelona,Villo Bruxelles,0.852115015186518,0.6902337808621637,0.9231176885107528,0.23288390764858913
Vélo'v Lyon,BiciMAD Madrid,0.8506799450060265,0.6650335977315154,0.9331841383283007,0.26815054059678534
Beryl Bournemouth,Bike Itaú Rio,0.8501028256538925,0.6711286397120887,0.9412457341515503,0.27011709443946164
Bay Wheels SF,Biketown Portland,0.8500939727744339,0.6618418499189488,0.9428319196038875,0.28099006968493867
