city_a,city_b,similarity_low,similarity_mid,similarity_high,iso_a,iso_b
Citi Bike NYC,Divvy Chicago,0.888406434078256,0.8991730970952612,0.6791706282183452,US,US
Citi Bike NYC,Capital DC,0.6585815935858131,0.9222646117271193,0.9127530299685771,US,US
Citi Bike NYC,Bay Wheels SF,0.8148601338191775,0.9314589136031938,0.6145917803319346,US,US
Citi Bike NYC,Bluebikes Boston,0.8962934086834349,0.9191140571892046,0.45161913537019,US,US
Citi Bike NYC,Biketown Portland,0.8304101952402329,0.9103811829518558,0.27740427304221404,US,US
Citi Bike NYC,BIXI Montréal,0.8318869539278828,0.875914026759686,0.7270681449800795,US,CA
Citi Bike NYC,Bike Share Toronto,0.8562169130126824,0.9220059288364449,0.7433556721536779,US,CA
Citi Bike NYC,Vélib Paris,0.8999384315363667,0.8288559074640678,0.7571011362850564,US,FR
Citi Bike NYC,Vélo'v Lyon,0.8155908812715565,0.9264445280447691,0.8002127430714878,US,FR
Citi Bike NYC,VéLÔ Toulouse,0.9119067745350619,0.9429395753698204,0.6166126164365257,US,FR
Citi Bike NYC,Le VélO Bordeaux,0.8861967745521216,0.8196279890775142,0.6364171670133045,US,FR
Citi Bike NYC,Le Vélo Marseille,0.895908479468504,0.8324473498392394,0.8403288039429755,US,FR
Citi Bike NYC,Santander London,0.9206632615653316,0.9038461202760905,0.3797459078129357,US,GB
Citi Bike NYC,Beryl Bournemouth,0.7400984873839347,0.8019257231960591,0.9190805656025312,US,GB
Citi Bike NYC,Beryl Manchester,0.8439022227030064,0.8817092894989256,0.6193177229672608,US,GB
Citi Bike NYC,Nextbike Berlin,0.7922074392203277,0.9049368634212611,0.8898559118852518,US,DE
Citi Bike NYC,Swabi Augsburg,0.8117453251690777,0.9146718656427275,0.8219181279198374,US,DE
Citi Bike NYC,Nextbike Praha,0.6718246756895379,0.9180627362073596,0.8245164927905325,US,CZ
Citi Bike NYC,BiciMAD Madrid,0.9019173681963336,0.9207044806952376,0.5541119825074918,US,ES
Citi Bike NYC,Bicing Barcelona,0.871366274998155,0.9109447002091072,0.48350076662753944,US,ES
Citi Bike NYC,Valenbisi València,0.8831998381821106,0.8657615272690522,0.8162437535140079,US,ES
Citi Bike NYC,BikeMi Milan,0.8723112448322251,0.8989002486473303,0.5148807189671563,US,IT
Citi Bike NYC,Villo Bruxelles,0.8242472911936627,0.9066419217037127,0.3541212722098092,US,BE
Citi Bike NYC,Velo Antwerpen,0.7661211142599343,0.9223977455462052,0.31491790814977516,US,BE
Citi Bike NYC,Metrorower,0.7579072159114318,0.8980302943062929,0.8576048774531495,US,PL
Citi Bike NYC,Mevo Gdańsk,0.6132599547269932,0.9207554592259024,0.8702297984433569,US,PL
Citi Bike NYC,Velospot CH,0.5480010439677458,0.9384113990832548,0.7933012255954753,US,CH
Citi Bike NYC,Ecobici Ciudad de Mexico,0.8579582511002523,0.880970141948697,0.2718766939140678,US,MX
Citi Bike NYC,Ecobici Buenos Aires,0.8557724953680832,0.8524053924275419,0.3936025053506355,US,AR
Citi Bike NYC,Bike Itaú Rio,0.7026002844906613,0.931126830037369,0.8831296249209324,US,BR
Divvy Chicago,Capital DC,0.730544472500724,0.9127565678731966,0.7117630734214817,US,US
Divvy Chicago,Bay Wheels SF,0.893465424389111,0.9348940265733966,0.8883716576804066,US,US
Divvy Chicago,Bluebikes Boston,0.9196177128415778,0.9217937215542393,0.6648552836820243,US,US
Divvy Chicago,Biketown Portland,0.8514833904102249,0.9585667664446088,0.40843514976211304,US,US
Divvy Chicago,BIXI Montréal,0.9142872134742821,0.8274356941658926,0.88756765716208,US,CA
Divvy Chicago,Bike Share Toronto,0.9444279988215402,0.9064136873717237,0.9010041662246239,US,CA
Divvy Chicago,Vélib Paris,0.8184813654102152,0.7576195364753779,0.8754795925024059,US,FR
Divvy Chicago,Vélo'v Lyon,0.904369406676352,0.8612674753901673,0.8264385098735497,US,FR
Divvy Chicago,VéLÔ Toulouse,0.8396585253571819,0.913448339434176,0.8772253928937268,US,FR
Divvy Chicago,Le VélO Bordeaux,0.8329583525100294,0.7852943636274141,0.9277492231616995,US,FR
Divvy Chicago,Le Vélo Marseille,0.8715479296974027,0.8126087341852839,0.7886064541400797,US,FR
Divvy Chicago,Santander London,0.8431928814368879,0.8918347739264376,0.5591184273767016,US,GB
Divvy Chicago,Beryl Bournemouth,0.8160460415279072,0.8840573671855727,0.701918139257249,US,GB
Divvy Chicago,Beryl Manchester,0.8479556033390699,0.9491031913601655,0.9098448257943602,US,GB
Divvy Chicago,Nextbike Berlin,0.8829060633233299,0.9739174672475973,0.7433816202554867,US,DE
Divvy Chicago,Swabi Augsburg,0.8750738662628894,0.9552107509445336,0.8228577907735264,US,DE
Divvy Chicago,Nextbike Praha,0.7415289688251268,0.9493312541628242,0.7569090469225174,US,CZ
Divvy Chicago,BiciMAD Madrid,0.8835157740907458,0.9062828768494646,0.8132023769476974,US,ES
Divvy Chicago,Bicing Barcelona,0.7878547736200399,0.875535097819494,0.7117217667003352,US,ES
Divvy Chicago,Valenbisi València,0.8068219013545957,0.7889669948673147,0.796285723556367,US,ES
Divvy Chicago,BikeMi Milan,0.8336860405024834,0.8384667989708869,0.7580127799193981,US,IT
Divvy Chicago,Villo Bruxelles,0.7499960506400576,0.8344089789731894,0.5213804191717467,US,BE
Divvy Chicago,Velo Antwerpen,0.7306300743091396,0.895088054210813,0.4636773629403793,US,BE
Divvy Chicago,Metrorower,0.8375504942941511,0.9477910580276214,0.7260849315557079,US,PL
Divvy Chicago,Mevo Gdańsk,0.6771041800214156,0.9455609057561571,0.7408049265670655,US,PL
Divvy Chicago,Velospot CH,0.6046316341155121,0.9396647378212628,0.7601644221796698,US,CH
Divvy Chicago,Ecobici Ciudad de Mexico,0.7783213561960225,0.8324464253096117,0.40030513828427133,US,MX
Divvy Chicago,Ecobici Buenos Aires,0.7747202164075722,0.7805771111239839,0.579530128265423,US,AR
Divvy Chicago,Bike Itaú Rio,0.773698362110241,0.9345097243045966,0.7120736538262918,US,BR
Capital DC,Bay Wheels SF,0.7713511978802028,0.9510022650631983,0.6470784317155361,US,US
Capital DC,Bluebikes Boston,0.7032697889270743,0.9442137573715172,0.4779522406680478,US,US
Capital DC,Biketown Portland,0.6700016061598827,0.9237772385802849,0.2941865315083723,US,US
Capital DC,BIXI Montréal,0.7760721659051197,0.9029991501589119,0.7706447677413121,US,CA
Capital DC,Bike Share Toronto,0.7555532829722668,0.9634893025051554,0.7798364744036065,US,CA
