k,cluster,n_cities,ipr_mean,ipr_std,ext_frac_mean,ext_frac_std,N_median,sigma_median,regions,countries,members
3,1,16,0.06551182400871189,0.020012000600794083,0.10445238691984143,0.17971292665952243,798,622.7135263100836,"europe, latam, north_america","BR, CA, CH, CZ, DE, ES, FR, GB, PL, US","Citi Bike NYC, Capital DC, BIXI Montréal, Bike Share Toronto, Vélo'v Lyon, Le VélO Bordeaux, Le Vélo Marseille, Beryl Bournemouth, Nextbike Berlin, Swabi Augsburg, Nextbike Praha, Valenbisi València, Metrorower, Mevo Gdańsk, Velospot CH, Bike Itaú Rio"
3,2,14,0.032150537053465385,0.011170284302093368,0.21174780562880027,0.1615912722923562,472,672.998984830969,"europe, latam, north_america","AR, BE, ES, FR, GB, IT, MX, US","Divvy Chicago, Bay Wheels SF, Bluebikes Boston, Biketown Portland, VéLÔ Toulouse, Santander London, Beryl Manchester, BiciMAD Madrid, Bicing Barcelona, BikeMi Milan, Villo Bruxelles, Velo Antwerpen, Ecobici Ciudad de Mexico, Ecobici Buenos Aires"
3,3,1,0.027338913419292,,0.0549305095962938,,1511,478.8533358238116,europe,FR,Vélib Paris
4,1,16,0.06551182400871189,0.020012000600794083,0.10445238691984143,0.17971292665952243,798,622.7135263100836,"europe, latam, north_america","BR, CA, CH, CZ, DE, ES, FR, GB, PL, US","Citi Bike NYC, Capital DC, BIXI Montréal, Bike Share Toronto, Vélo'v Lyon, Le VélO Bordeaux, Le Vélo Marseille, Beryl Bournemouth, Nextbike Berlin, Swabi Augsburg, Nextbike Praha, Valenbisi València, Metrorower, Mevo Gdańsk, Velospot CH, Bike Itaú Rio"
4,2,9,0.02574141209789958,0.006687271257494346,0.25249450628483766,0.17566970416710292,545,651.1662423685069,"europe, latam, north_america","AR, BE, ES, FR, GB, IT, MX, US","Divvy Chicago, VéLÔ Toulouse, Santander London, BiciMAD Madrid, Bicing Barcelona, BikeMi Milan, Villo Bruxelles, Ecobici Ciudad de Mexico, Ecobici Buenos Aires"
4,3,5,0.04368696197348382,0.007569412942124643,0.138403744447933,0.11262154753294686,321,694.831727293431,"europe, north_america","BE, GB, US","Bay Wheels SF, Bluebikes Boston, Biketown Portland, Beryl Manchester, Velo Antwerpen"
4,4,1,0.027338913419292,,0.0549305095962938,,1511,478.8533358238116,europe,FR,Vélib Paris
5,1,10,0.07305553924626276,0.017258044739513853,0.07989604678830269,0.13391847368452872,651,694.3672355399207,"europe, latam, north_america","BR, CH, CZ, DE, FR, GB, PL, US","Capital DC, Le VélO Bordeaux, Le Vélo Marseille, Beryl Bournemouth, Swabi Augsburg, Nextbike Praha, Metrorower, Mevo Gdańsk, Velospot CH, Bike Itaú Rio"
5,2,6,0.05293896527946046,0.019021590317354276,0.14537962047240602,0.24777540341925133,1045,521.4286904536848,"europe, north_america","CA, DE, ES, FR, US","Citi Bike NYC, BIXI Montréal, Bike Share Toronto, Vélo'v Lyon, Nextbike Berlin, Valenbisi València"
5,3,9,0.02574141209789958,0.006687271257494346,0.25249450628483766,0.17566970416710292,545,651.1662423685069,"europe, latam, north_america","AR, BE, ES, FR, GB, IT, MX, US","Divvy Chicago, VéLÔ Toulouse, Santander London, BiciMAD Madrid, Bicing Barcelona, BikeMi Milan, Villo Bruxelles, Ecobici Ciudad de Mexico, Ecobici Buenos Aires"
5,4,5,0.04368696197348382,0.007569412942124643,0.138403744447933,0.11262154753294686,321,694.831727293431,"europe, north_america","BE, GB, US","Bay Wheels SF, Bluebikes Boston, Biketown Portland, Beryl Manchester, Velo Antwerpen"
5,5,1,0.027338913419292,,0.0549305095962938,,1511,478.8533358238116,europe,FR,Vélib Paris
