family,y_type,N_actual,mean_ipr_topK,mean_ipr_global,r2_mean,r2_std,n_targets
RGG k=3,spatial,411,0.013769103422546298,0.10849721219589172,0.8732588176190288,0.003144348757054437,30
RGG k=3,heat-t2,411,0.013769103422546298,0.10849721219589172,0.14719896123527873,0.05231777633094883,30
RGG k=3,heat-t5,411,0.013769103422546298,0.10849721219589172,0.20313082963059917,0.07885053875210102,30
RGG k=3,band-20,411,0.013769103422546298,0.10849721219589172,0.8064644427524716,0.1450051093836916,30
RGG k=5,spatial,500,0.009775514699903181,0.050564612221871016,0.931168236208172,0.0016603190865146437,30
RGG k=5,heat-t2,500,0.009775514699903181,0.050564612221871016,0.14339197489188835,0.05590055849380468,30
RGG k=5,heat-t5,500,0.009775514699903181,0.050564612221871016,0.2943144068904664,0.09323072628414374,30
RGG k=5,band-20,500,0.009775514699903181,0.050564612221871016,0.8483242004866356,0.11803271350557985,30
RGG k=8,spatial,500,0.00498181843068881,0.022883281137254432,0.9619940305788435,0.0012928709359842799,30
RGG k=8,heat-t2,500,0.00498181843068881,0.022883281137254432,0.21405854483377615,0.09399801975457368,30
RGG k=8,heat-t5,500,0.00498181843068881,0.022883281137254432,0.39285865293669825,0.1204066803834986,30
RGG k=8,band-20,500,0.00498181843068881,0.022883281137254432,0.8638678226151925,0.08325727371620179,30
RGG k=12,spatial,500,0.004326475867561801,0.013011778798627745,0.9470018836328004,0.001677880769745845,30
RGG k=12,heat-t2,500,0.004326475867561801,0.013011778798627745,0.25198249913103593,0.10406197183859871,30
RGG k=12,heat-t5,500,0.004326475867561801,0.013011778798627745,0.5949890869699079,0.12055055161905462,30
RGG k=12,band-20,500,0.004326475867561801,0.013011778798627745,0.8880571932300576,0.07412270240328989,30
RGG k=20,spatial,500,0.004290432968396657,0.011634637294385637,0.9559329242517092,0.001665838154588745,30
RGG k=20,heat-t2,500,0.004290432968396657,0.011634637294385637,0.3165439402398309,0.09820547906939138,30
RGG k=20,heat-t5,500,0.004290432968396657,0.011634637294385637,0.7457301049325998,0.11787836598765447,30
RGG k=20,band-20,500,0.004290432968396657,0.011634637294385637,0.8863982139801494,0.07202699393754425,30
Gauss k=5,spatial,500,0.009492686694986536,0.07041747227433061,0.8456298311960656,0.004415365479461056,30
Gauss k=5,heat-t2,500,0.009492686694986536,0.07041747227433061,0.1524564914909812,0.06654831596380306,30
Gauss k=5,heat-t5,500,0.009492686694986536,0.07041747227433061,0.27416529740890405,0.10039081880332791,30
Gauss k=5,band-20,500,0.009492686694986536,0.07041747227433061,0.856133304175253,0.07852845208609585,30
Gauss k=10,spatial,500,0.0156788170334852,0.03563922768278845,0.8660950141252965,0.0033315634440683355,30
Gauss k=10,heat-t2,500,0.0156788170334852,0.03563922768278845,0.21368647410996733,0.0836103328003004,30
Gauss k=10,heat-t5,500,0.0156788170334852,0.03563922768278845,0.40959950476036694,0.14293859577570464,30
Gauss k=10,band-20,500,0.0156788170334852,0.03563922768278845,0.8038862344789239,0.16684674073172237,30
Mix k=5,spatial,260,0.014439262365878355,0.06204731425760626,0.9126104669945118,0.0035337512132257855,30
Mix k=5,heat-t2,260,0.014439262365878355,0.06204731425760626,0.28042573401035537,0.09106447601613155,30
Mix k=5,heat-t5,260,0.014439262365878355,0.06204731425760626,0.5049820923034479,0.16255481593819732,30
Mix k=5,band-20,260,0.014439262365878355,0.06204731425760626,0.8408575312280531,0.07743894982217608,30
Matérn 4c,spatial,146,0.024933327263533707,0.07407622687777633,0.8828275615943847,0.005131744598671264,30
Matérn 4c,heat-t2,146,0.024933327263533707,0.07407622687777633,0.45904027081560794,0.10821745435842647,30
Matérn 4c,heat-t5,146,0.024933327263533707,0.07407622687777633,0.7604334965200936,0.10887580014838756,30
Matérn 4c,band-20,146,0.024933327263533707,0.07407622687777633,0.8173936016586253,0.0995208476845268,30
Matérn 10c,spatial,500,0.00923911298450488,0.06969274253842248,0.9410666462180332,0.0018366919316659602,30
Matérn 10c,heat-t2,500,0.00923911298450488,0.06969274253842248,0.1554301504447946,0.05844280338840588,30
Matérn 10c,heat-t5,500,0.00923911298450488,0.06969274253842248,0.29393439369043445,0.11225545985554837,30
Matérn 10c,band-20,500,0.00923911298450488,0.06969274253842248,0.7902468671272563,0.1303386952803124,30
Hub-2,spatial,274,0.02335624426972878,0.07158364233416442,0.8655515041666558,0.00483625567881125,30
Hub-2,heat-t2,274,0.02335624426972878,0.07158364233416442,0.3054870854905494,0.0861222197061969,30
Hub-2,heat-t5,274,0.02335624426972878,0.07158364233416442,0.44587289238591754,0.1549185208615142,30
Hub-2,band-20,274,0.02335624426972878,0.07158364233416442,0.8458438629628546,0.09336706475782135,30
Hub-4,spatial,350,0.012436952363416286,0.0605764920775484,0.8181100796272489,0.006195823135840847,30
Hub-4,heat-t2,350,0.012436952363416286,0.0605764920775484,0.255703427673973,0.0947398937882674,30
Hub-4,heat-t5,350,0.012436952363416286,0.0605764920775484,0.38628860392209585,0.14257263901900455,30
Hub-4,band-20,350,0.012436952363416286,0.0605764920775484,0.8100095041588109,0.12783471790495304,30
Hub-8,spatial,199,0.022678930606234764,0.05732255821894305,0.8975894704171324,0.004465623916515808,30
Hub-8,heat-t2,199,0.022678930606234764,0.05732255821894305,0.3744659070446116,0.1072826637875245,30
Hub-8,heat-t5,199,0.022678930606234764,0.05732255821894305,0.5641483918251716,0.15115771055747018,30
Hub-8,band-20,199,0.022678930606234764,0.05732255821894305,0.87592976937827,0.10234388342984803,30
