city,atlas,N,z_kde,dirichlet_y
d10_Paris,world_fr_v_lib_metropole,1361,-8.216757810397606,0.46104418087317717
d10_inurba-rouen,world_fr_lovelo_libre_service,124,-1.0091155704432255,0.4055357384270259
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,228,-1.227833831432313,0.49786707367620653
d10_lyon,world_fr_v_lo_v,462,-1.8767363164863284,0.5412526386157657
d10_nantes,world_fr_naolib,123,-3.1963068125432685,0.5784674595395435
d10_toulouse,world_fr_v_l_toulouse,448,-5.7618865359164335,0.4532939000109151
d10_twisto_velolib_caen,world_fr_twisto_v_lolib,76,-1.913422593535398,0.8251003180619085
d10_velivert_saint_etienne,world_fr_v_livert,97,2.72938324376681,0.4400028257620356
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,228,-2.1172463290679917,0.8169880607297554
d10_velonecy60minutes_annecy,world_fr_v_lonecy,80,-1.4496329205324168,0.5390859856317395
d10_vilvolt_epinal,world_fr_vilvolt,106,3.8399795679778768,0.5969437067868291
d10_zebullo,world_fr_zebullo,66,-1.1817038102878736,0.5524871962906458
d14_montreal_bixi,world_ca_bixi_montr_al,717,-1.393289033172466,0.31061350749159217
d16_london_tfl,london_tfl,788,-12.747587995559863,0.6368569472607764
d3_boston_bluebikes,boston_bluebikes,493,-3.5359695428935165,0.29536130334502436
d3_chicago_divvy,chicago_divvy,1337,-2.4065046415887537,0.23953674458005075
d3_dc_capitalbikeshare,dc_capitalbikeshare,765,2.0499362775869643,0.2107338146725449
d3_sf_baywheels,sf_baywheels,552,-3.1464352207071085,0.2862510899842704
