city,atlas,block,N,n_train,n_test,z_kde,dirichlet_unnorm,r2_base,r2_aug,gain
d10_Paris,world_fr_v_lib_metropole,0,1361,1191,170,-8.216757810397606,1.3804181946738776,0.004323432998819876,-0.0013166062164915449,-0.005640039215311421
d10_Paris,world_fr_v_lib_metropole,1,1361,1169,192,-8.216757810397606,1.3804181946738776,0.39541645217461086,0.4071193068757958,0.011702854701184928
d10_Paris,world_fr_v_lib_metropole,2,1361,1187,174,-8.216757810397606,1.3804181946738776,0.2760807930498289,0.3180984746279666,0.04201768157813768
d10_Paris,world_fr_v_lib_metropole,3,1361,1209,152,-8.216757810397606,1.3804181946738776,0.3701988156900696,0.41019178383816857,0.03999296814809894
d10_Paris,world_fr_v_lib_metropole,4,1361,1304,57,-8.216757810397606,1.3804181946738776,-1.5143698068598113,-1.6414836697725272,-0.12711386291271598
d10_Paris,world_fr_v_lib_metropole,5,1361,1246,115,-8.216757810397606,1.3804181946738776,0.28688156026673073,0.30602492248601,0.01914336221927926
d10_Paris,world_fr_v_lib_metropole,6,1361,1291,70,-8.216757810397606,1.3804181946738776,0.1920400078482828,0.2654606139599458,0.07342060611166301
d10_Paris,world_fr_v_lib_metropole,7,1361,1237,124,-8.216757810397606,1.3804181946738776,0.17306341078266296,0.1572805187755394,-0.015782892007123572
d10_Paris,world_fr_v_lib_metropole,8,1361,1307,54,-8.216757810397606,1.3804181946738776,-0.5671629630876125,-0.7131946380761032,-0.14603167498849068
d10_Paris,world_fr_v_lib_metropole,9,1361,1108,253,-8.216757810397606,1.3804181946738776,-1.2223176028924168,-0.8764244082954737,0.345893194596943
d10_inurba-rouen,world_fr_lovelo_libre_service,0,124,97,27,-1.0091155704432255,1.542359675864639,-0.8103532214935751,-1.3068919924629125,-0.4965387709693374
d10_inurba-rouen,world_fr_lovelo_libre_service,1,124,108,16,-1.0091155704432255,1.542359675864639,0.05177458600550411,-0.0026517721516394754,-0.054426358157143584
d10_inurba-rouen,world_fr_lovelo_libre_service,2,124,43,81,-1.0091155704432255,1.542359675864639,-0.24609261792319015,-0.34433494074875126,-0.09824232282556111
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,0,228,180,48,-1.227833831432313,1.5953794723250134,0.34453859937184383,0.3258860794664519,-0.018652519905391962
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,1,228,213,15,-1.227833831432313,1.5953794723250134,0.2665739143329309,0.2145932814469188,-0.05198063288601207
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,2,228,178,50,-1.227833831432313,1.5953794723250134,0.22379094734362404,0.23262599467605372,0.00883504733242968
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,3,228,157,71,-1.227833831432313,1.5953794723250134,-0.11615148542725917,-0.06663187650197111,0.04951960892528806
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,4,228,204,24,-1.227833831432313,1.5953794723250134,-0.23084264807466304,-0.5605641131574906,-0.3297214650828275
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,5,228,208,20,-1.227833831432313,1.5953794723250134,0.11678087415053795,0.12766827036849293,0.010887396217954981
d10_lyon,world_fr_v_lo_v,0,462,386,76,-1.8767363164863284,1.8144369435576382,-0.18057718993113037,-0.1794884252297695,0.001088764701360878
d10_lyon,world_fr_v_lo_v,1,462,401,61,-1.8767363164863284,1.8144369435576382,0.2501378067859229,0.25052280883096656,0.00038500204504365865
d10_lyon,world_fr_v_lo_v,2,462,423,39,-1.8767363164863284,1.8144369435576382,0.17329802394089922,0.16880091721513746,-0.004497106725761757
d10_lyon,world_fr_v_lo_v,3,462,374,88,-1.8767363164863284,1.8144369435576382,-0.17524533695813416,-0.1779993908695643,-0.002754053911430132
d10_lyon,world_fr_v_lo_v,4,462,399,63,-1.8767363164863284,1.8144369435576382,0.237882114392442,0.22980771381929566,-0.008074400573146345
d10_lyon,world_fr_v_lo_v,5,462,453,9,-1.8767363164863284,1.8144369435576382,-31.24405259834336,-32.948080148100615,-1.7040275497572566
d10_lyon,world_fr_v_lo_v,6,462,420,42,-1.8767363164863284,1.8144369435576382,0.261640577559758,0.24223196123258706,-0.019408616327170947
d10_lyon,world_fr_v_lo_v,7,462,445,17,-1.8767363164863284,1.8144369435576382,0.06185554792191883,0.043539817476528686,-0.018315730445390144
d10_lyon,world_fr_v_lo_v,8,462,438,24,-1.8767363164863284,1.8144369435576382,0.01877007231690464,-0.011672044357818434,-0.030442116674723074
d10_lyon,world_fr_v_lo_v,9,462,419,43,-1.8767363164863284,1.8144369435576382,-0.15159202244969427,-0.03905539960739057,0.1125366228423037
d10_nantes,world_fr_naolib,0,123,63,60,-3.1963068125432685,2.2957888004855955,-1.0194152271147927,-0.6730183085786019,0.3463969185361908
d10_nantes,world_fr_naolib,1,123,97,26,-3.1963068125432685,2.2957888004855955,-0.06207405741687788,-0.46446751751408555,-0.40239346009720767
d10_nantes,world_fr_naolib,2,123,86,37,-3.1963068125432685,2.2957888004855955,0.16147208129811152,0.17365366399428095,0.012181582696169424
d10_toulouse,world_fr_v_l_toulouse,0,448,423,25,-5.7618865359164335,1.761663509611304,-1.1511687114281606,-1.1303293618270285,0.020839349601132096
d10_toulouse,world_fr_v_l_toulouse,1,448,402,46,-5.7618865359164335,1.761663509611304,-0.10318419449702398,-0.061587515992790554,0.04159667850423343
d10_toulouse,world_fr_v_l_toulouse,2,448,378,70,-5.7618865359164335,1.761663509611304,-0.315505581005856,-0.2724985398334545,0.043007041172401506
d10_toulouse,world_fr_v_l_toulouse,3,448,399,49,-5.7618865359164335,1.761663509611304,-0.003715027816399763,0.014922719406933571,0.018637747223333334
d10_toulouse,world_fr_v_l_toulouse,5,448,337,111,-5.7618865359164335,1.761663509611304,-2.321657598512697,-1.413671001397263,0.9079865971154337
d10_toulouse,world_fr_v_l_toulouse,6,448,409,39,-5.7618865359164335,1.761663509611304,0.1848304373271049,-0.14345949743992237,-0.3282899347670273
d10_toulouse,world_fr_v_l_toulouse,7,448,411,37,-5.7618865359164335,1.761663509611304,0.31143318088977967,0.27978238320442095,-0.03165079768535872
d10_toulouse,world_fr_v_l_toulouse,8,448,422,26,-5.7618865359164335,1.761663509611304,-0.6330999853150454,-0.388665494898099,0.24443449041694643
d10_toulouse,world_fr_v_l_toulouse,9,448,404,44,-5.7618865359164335,1.761663509611304,0.11072471908465642,0.16633827917623412,0.055613560091577696
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,0,228,200,28,-2.1172463290679917,3.3650517438032357,0.22408607346193998,0.2845438100085069,0.06045773654656694
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,1,228,186,42,-2.1172463290679917,3.3650517438032357,0.13684635622694707,0.10039894205704902,-0.03644741416989805
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,2,228,204,24,-2.1172463290679917,3.3650517438032357,-0.08159062566344777,0.19288790799269195,0.2744785336561397
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,3,228,187,41,-2.1172463290679917,3.3650517438032357,-0.10169014645530727,-0.1481899379490379,-0.046499791493730624
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,4,228,212,16,-2.1172463290679917,3.3650517438032357,-3.710330444503903,-3.2182667345006815,0.49206371000322147
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,5,228,151,77,-2.1172463290679917,3.3650517438032357,-0.9063356069744817,-0.7138577912305812,0.19247781574390044
d10_vilvolt_epinal,world_fr_vilvolt,0,106,86,20,3.8399795679778768,2.2796224234586817,-0.007109991310728425,0.007334613250524757,0.014444604561253183
d10_vilvolt_epinal,world_fr_vilvolt,1,106,98,8,3.8399795679778768,2.2796224234586817,-43.4652799054729,-44.646109100237844,-1.1808291947649465
d14_montreal_bixi,world_ca_bixi_montr_al,0,717,673,44,-1.393289033172466,1.1187636169585986,0.15331328960225332,0.01031502761317904,-0.14299826198907428
d14_montreal_bixi,world_ca_bixi_montr_al,1,717,528,189,-1.393289033172466,1.1187636169585986,-0.49507193976247277,-0.48154328019244197,0.013528659570030799
d14_montreal_bixi,world_ca_bixi_montr_al,2,717,690,27,-1.393289033172466,1.1187636169585986,-1.9577439776538856,-2.583654532845247,-0.6259105551913615
d14_montreal_bixi,world_ca_bixi_montr_al,3,717,612,105,-1.393289033172466,1.1187636169585986,0.2380621146863281,0.24688216081224612,0.008820046125918024
d14_montreal_bixi,world_ca_bixi_montr_al,4,717,629,88,-1.393289033172466,1.1187636169585986,-0.12256249462193991,-0.08808345153750818,0.034479043084431726
d14_montreal_bixi,world_ca_bixi_montr_al,5,717,556,161,-1.393289033172466,1.1187636169585986,0.4413234236005149,0.41466791653569424,-0.02665550706482067
d14_montreal_bixi,world_ca_bixi_montr_al,6,717,690,27,-1.393289033172466,1.1187636169585986,-0.6926610925269308,-1.0671046672122575,-0.37444357468532674
d14_montreal_bixi,world_ca_bixi_montr_al,7,717,712,5,-1.393289033172466,1.1187636169585986,-4.570167301403847,-6.264886044245847,-1.6947187428419994
d14_montreal_bixi,world_ca_bixi_montr_al,8,717,670,47,-1.393289033172466,1.1187636169585986,-1.6980710276223978,-1.8943192309463197,-0.1962482033239219
d14_montreal_bixi,world_ca_bixi_montr_al,9,717,693,24,-1.393289033172466,1.1187636169585986,-0.7650200662297835,-1.178598102124365,-0.41357803589458153
d16_london_tfl,london_tfl,0,788,710,78,-12.747587995559863,2.2827152518966005,-0.15655739897693133,-0.09277950013993386,0.06377789883699747
d16_london_tfl,london_tfl,1,788,697,91,-12.747587995559863,2.2827152518966005,0.19143812035175478,0.23368991277758977,0.04225179242583499
d16_london_tfl,london_tfl,2,788,716,72,-12.747587995559863,2.2827152518966005,-0.18221041754762335,-0.34140350610964854,-0.1591930885620252
d16_london_tfl,london_tfl,3,788,681,107,-12.747587995559863,2.2827152518966005,0.08832035655555992,0.08752339291157352,-0.0007969636439864036
d16_london_tfl,london_tfl,4,788,709,79,-12.747587995559863,2.2827152518966005,0.1140622987945955,0.14165417499301314,0.02759187619841763
d16_london_tfl,london_tfl,5,788,733,55,-12.747587995559863,2.2827152518966005,-0.9361654260620935,-1.2158038317522553,-0.27963840569016174
d16_london_tfl,london_tfl,6,788,734,54,-12.747587995559863,2.2827152518966005,-0.11827839758720082,-0.1789747102256838,-0.06069631263848296
d16_london_tfl,london_tfl,7,788,699,89,-12.747587995559863,2.2827152518966005,0.03614712779957907,0.07898666521643127,0.0428395374168522
d16_london_tfl,london_tfl,8,788,723,65,-12.747587995559863,2.2827152518966005,-0.055599222864650244,-0.060216582561001264,-0.00461735969635102
d16_london_tfl,london_tfl,9,788,690,98,-12.747587995559863,2.2827152518966005,0.07708937164621554,0.13168213301596499,0.05459276136974944
d3_boston_bluebikes,boston_bluebikes,0,493,423,70,-3.5359695428935165,1.0920720978920242,0.0881474371187041,0.15490802439919416,0.06676058728049006
d3_boston_bluebikes,boston_bluebikes,1,493,475,18,-3.5359695428935165,1.0920720978920242,-0.7235321653952431,-0.7914820804250864,-0.06794991502984327
d3_boston_bluebikes,boston_bluebikes,2,493,409,84,-3.5359695428935165,1.0920720978920242,-0.2608771442381117,-0.018515510014453174,0.24236163422365853
d3_boston_bluebikes,boston_bluebikes,3,493,472,21,-3.5359695428935165,1.0920720978920242,-2.0673523806612657,-3.5259064361001906,-1.458554055438925
d3_boston_bluebikes,boston_bluebikes,4,493,411,82,-3.5359695428935165,1.0920720978920242,-0.13893898167237584,-0.10328098662152008,0.03565799505085576
d3_boston_bluebikes,boston_bluebikes,5,493,451,42,-3.5359695428935165,1.0920720978920242,-3.5985292891972556,-3.0160631113919916,0.582466177805264
d3_boston_bluebikes,boston_bluebikes,6,493,460,33,-3.5359695428935165,1.0920720978920242,-0.597573493555555,0.2884439860201017,0.8860174795756567
d3_boston_bluebikes,boston_bluebikes,7,493,458,35,-3.5359695428935165,1.0920720978920242,-2.566118406574619,-1.4713769851927534,1.0947414213818658
d3_boston_bluebikes,boston_bluebikes,8,493,442,51,-3.5359695428935165,1.0920720978920242,-0.057052088094183606,0.05460224301866623,0.11165433111284984
d3_boston_bluebikes,boston_bluebikes,9,493,436,57,-3.5359695428935165,1.0920720978920242,0.5177459949426384,0.3959000947161839,-0.12184590022645447
d3_chicago_divvy,chicago_divvy,0,1337,1141,196,-2.4065046415887537,0.8967027334190592,-1.239065704757499,-0.681423132880578,0.5576425718769211
d3_chicago_divvy,chicago_divvy,1,1337,1206,131,-2.4065046415887537,0.8967027334190592,-0.5718605818471116,-0.4206551769324538,0.15120540491465784
d3_chicago_divvy,chicago_divvy,2,1337,1259,78,-2.4065046415887537,0.8967027334190592,-0.8336719722902226,-0.9174420085806307,-0.08377003629040813
d3_chicago_divvy,chicago_divvy,3,1337,1175,162,-2.4065046415887537,0.8967027334190592,-0.7767875342496386,-0.436109905826058,0.3406776284235806
d3_chicago_divvy,chicago_divvy,4,1337,1184,153,-2.4065046415887537,0.8967027334190592,0.11165275928401786,0.10863430726785828,-0.0030184520161595785
d3_chicago_divvy,chicago_divvy,5,1337,1180,157,-2.4065046415887537,0.8967027334190592,-7.432617069839882,-6.100988946902772,1.3316281229371096
d3_chicago_divvy,chicago_divvy,6,1337,1257,80,-2.4065046415887537,0.8967027334190592,-0.36553301123055637,-0.3008351772991318,0.06469783393142459
d3_chicago_divvy,chicago_divvy,7,1337,1236,101,-2.4065046415887537,0.8967027334190592,-2.2529176165193907,-1.4789550172600099,0.7739625992593808
d3_chicago_divvy,chicago_divvy,8,1337,1193,144,-2.4065046415887537,0.8967027334190592,-0.5764785552451888,-0.45494031298555315,0.12153824225963561
d3_chicago_divvy,chicago_divvy,9,1337,1202,135,-2.4065046415887537,0.8967027334190592,-4.308720571397456,-3.2429142232546404,1.0658063481428153
d3_dc_capitalbikeshare,dc_capitalbikeshare,0,765,733,32,2.0499362775869643,0.7931013485145498,-6.782590700961114,-8.811583879969676,-2.0289931790085625
d3_dc_capitalbikeshare,dc_capitalbikeshare,1,765,548,217,2.0499362775869643,0.7931013485145498,-0.5660930628938945,-0.5552365249138038,0.010856537980090675
d3_dc_capitalbikeshare,dc_capitalbikeshare,2,765,654,111,2.0499362775869643,0.7931013485145498,0.4766958800762898,0.500237600187975,0.023541720111685205
d3_dc_capitalbikeshare,dc_capitalbikeshare,3,765,705,60,2.0499362775869643,0.7931013485145498,-10.407014736575341,-12.519032649077086,-2.112017912501745
d3_dc_capitalbikeshare,dc_capitalbikeshare,4,765,724,41,2.0499362775869643,0.7931013485145498,-3.042688996074787,-4.393285941845529,-1.350596945770742
d3_dc_capitalbikeshare,dc_capitalbikeshare,5,765,743,22,2.0499362775869643,0.7931013485145498,-1.6243170838806007,-4.113304201162979,-2.4889871172823783
d3_dc_capitalbikeshare,dc_capitalbikeshare,6,765,715,50,2.0499362775869643,0.7931013485145498,-0.029074076993784503,-0.24978355563347643,-0.22070947863969193
